year,supplier_name,factor_kg_kwh
2023,"AB ENERGÍA 1903, S.L.",0.259
2023,ACCIONA GREEN ENERGY DEVELOPMENTS SL,0.000
2023,"ACSOL ENERGÍA GLOBAL, S.A.",0.260
2023,ADEINNOVA ENERGIA S.L,0.260
2023,"ADX Renovables, S.L.",0.000
2023,"AGRI-ENERGIA, S.A.",0.240
2023,AHORRELUZ SERVICIOS ONLINE S.L,0.260
2023,AIRE LIMPIO SL,0.236
2023,"ALCANZIA ENERGIA, S.L.",0.260
2023,ALPIQ ENERGIA ESPAÑA SAU,0.259
2023,ARACAN ENERGIA S.L.,0.260
2023,ATENCO ENERGIA SL,0.257
2023,"ATLAS ENERGIA COMERCIAL, S.L.",0.260
2023,"AUDAX RENOVABLES, S.A",0.000
2023,"AUSARTA PRIMA, S.L.",0.260
2023,AVANZALIA ENERGIA COMERCIALIZADORA SA,0.140
2023,AXPO IBERIA S.L.,0.257
2023,BIROU GAS S.L.,0.256
2023,"BLUBAT PULSAR, S.L.",0.256
2023,"BP GAS & POWER IBERIA, S.A.U.",0.000
2023,"CEPSA GAS Y ELECTRICIDAD, S.A.U.",0.250
2023,CIDE HCENERGÍA S.A.U.,0.249
2023,CIMA ENERGIA COMERCIALIZADORA SL,0.260
2023,"COMERCIALIZADORA ADI ESPAÑA, S.L.",0.260
2023,"COMERCIALIZADORA LERSA, S.L.",0.260
2023,"CONECTA ENERGIA VERDE, S.L.",0.259
2023,"CONECTA2 ENERGIA, S.L.",0.258
2023,CYE ENERGIA SL,0.258
2023,DAIMUZ ENERGÍA S.L.,0.260
2023,DISA ENERGIA ELECTRICA S.L.,0.237
2023,"DRK ENERGY, S.L",0.260
2023,"EBROENERGIA COMERCIALIZADORA, S.L.",0.260
2023,"ECOFUTURA LUZ ENERGÍA, S.L.U.",0.259
2023,EDP CLIENTES SAU,0.259
2023,"EDP ESPAÑA, S.A",0.260
2023,"ELECTRA ENERGIA, S.A.",0.253
2023,"ELECTRA NORTE ENERGÍA, S.A.",0.243
2023,"ELECTRICA DE GUIXES ENERGIA, SL",0.260
2023,"ELECTRICA SEROSENSE, S.L.",0.260
2023,"ELECTRICA SOLLERENSE, S.A.",0.259
2023,ELECTRICIDAD ELEIA S.L.,0.260
2023,ELEK COMERCIALIZADORA ELECTRICA S.L.,0.260
2023,"EMPRESA DE ALUMBRADO ELECTRICO DE CEUTA ENERGIA, S.L.",0.260
2023,"EMPRESA DE ALUMBRADO ELECTRICO DE CEUTA, S.A.",0.260
2023,"ENDESA ENERGÍA RENOVABLE, S.L.",0.000
2023,ENDESA ENERGÍA S.A.U.,0.259
2023,ENDI ENERGY TRADING SL,0.253
2023,"ENERFIA, SL",0.260
2023,ENERGIA NUFRI SL,0.260
2023,"ENERGIA VIVA SPAIN, S.L.U.",0.260
2023,ENERGY BY COGEN S.L.U.,0.260
2023,ENERGY STROM XXI SL,0.240
2023,"ENERGYA VM GESTION DE ENERGÍA, S.L",0.258
2023,ENERGYSAVE PROJECTS S.L,0.260
2023,"ENERGÍA ECOLÓGICA ECONÓMICA, S.L.",0.260
2023,"ENERGÍA LIBRE COMERCIALIZADORA, S.L.",0.259
2023,"ENERPLUS ENERGIA, S.A.",0.260
2023,ENERXIA GALEGA MAIS SLU,0.260
2023,"ENGIE ESPAÑA, S.L",0.258
2023,"ENI PLENITUDE IBERIA, S.L.",0.252
2023,"ENSTROGA, S.L.",0.252
2023,"ESCANDINAVA DE ELECTRICIDAD, S.L.U",0.259
